<http://givingsense.eu/sembib/onto/persons/Priouret_P_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Priouret_P_> <http://xmlns.com/foaf/0.1/name> "Pierre Priouret"
<http://givingsense.eu/sembib/onto/persons/Dufourd_Jean-Claude> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Dufourd_Jean-Claude> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Dufourd_Jean-Claude-author>
<http://givingsense.eu/sembib/onto/persons/Dufourd_Jean-Claude> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Dufourd_Jean-Claude-at-tpt>
<http://givingsense.eu/sembib/onto/persons/Dufourd_Jean-Claude> <http://xmlns.com/foaf/0.1/givenName> "Jean-Claude"
<http://givingsense.eu/sembib/onto/persons/Dufourd_Jean-Claude> <http://xmlns.com/foaf/0.1/name> "Jean-Claude Dufourd"
<http://givingsense.eu/sembib/onto/persons/Moissinac_Jean-Claude> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Moissinac_Jean-Claude> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Moissinac_Jean-Claude-author>
<http://givingsense.eu/sembib/onto/persons/Moissinac_Jean-Claude> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Moissinac_Jean-Claude-at-tpt>
<http://givingsense.eu/sembib/onto/persons/Moissinac_Jean-Claude> <http://xmlns.com/foaf/0.1/givenName> "Jean-Claude"
<http://givingsense.eu/sembib/onto/persons/Moissinac_Jean-Claude> <http://xmlns.com/foaf/0.1/name> "Jean-Claude Moissinac"
<http://givingsense.eu/sembib/onto/persons/Nicolas_Jean-Marie> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Nicolas_Jean-Marie> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Nicolas_Jean-Marie-author>
<http://givingsense.eu/sembib/onto/persons/Nicolas_Jean-Marie> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Nicolas_Jean-Marie-at-tpt>
<http://givingsense.eu/sembib/onto/persons/Nicolas_Jean-Marie> <http://xmlns.com/foaf/0.1/name> "Jean-Marie Nicolas"
<http://givingsense.eu/sembib/onto/persons/Smirr_J_-L_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Smirr_J_-L_> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Smirr_J_-L_-author>
<http://givingsense.eu/sembib/onto/persons/Smirr_J_-L_> <http://xmlns.com/foaf/0.1/name> "Jean-Loup Smirr"
<http://givingsense.eu/sembib/onto/persons/Poisson_J_-B_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Poisson_J_-B_> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Poisson_J_-B_-author>
<http://givingsense.eu/sembib/onto/persons/Poisson_J_-B_> <http://xmlns.com/foaf/0.1/name> "Jean-Baptiste Poisson"
<http://givingsense.eu/sembib/onto/persons/Secci_S_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Secci_S_> <http://xmlns.com/foaf/0.1/name> "Stefano Secci"
<http://givingsense.eu/sembib/onto/persons/Nicolas_G_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
